,0,1,2,3,4,5
75,0,0,27,488,698,365
76,305,5,27,488,698,365
77,0,0,0,1199,123,54
78,0,0,0,0,306,1200
79,0,6,695,303,85,5
80,0,0,4,9,489,699
81,0,0,0,2,27,1201
82,0,0,0,490,95,700
83,0,0,0,180,487,166
84,0,0,701,248,1202,365
85,124,701,307,488,702,365
86,0,1204,703,491,1205,11
87,0,0,17,1206,1207,8
88,0,0,0,181,182,136
89,0,0,1208,1209,484,1
90,0,0,492,183,184,366
91,0,0,0,32,10,704
92,0,0,0,0,0,705
93,0,0,0,0,96,1210
94,0,0,41,152,185,1211
95,0,1,32,367,368,59
96,10,249,25,1,1212,8
97,0,0,0,1213,493,494
98,0,0,7,1,32,167
99,0,0,0,0,706,46
100,0,0,0,1214,707,38
101,0,0,216,1215,71,1216
102,0,0,0,250,708,481
103,0,0,2,32,369,6
104,0,0,0,1217,4,1218
105,0,0,0,0,495,1219
106,0,0,0,0,1220,1221
107,370,496,370,496,370,496
108,0,0,0,1222,1223,1224
109,0,0,367,368,32,1225
110,0,0,7,250,709,8
111,0,0,57,497,251,493
112,0,0,9,217,2,1226
113,0,0,0,1227,710,371
114,0,0,0,372,1228,308
115,0,0,1229,34,43,1230
116,0,0,2,1231,711,8
117,0,0,10,373,1232,1233
118,0,0,1234,113,712,6
119,0,0,0,495,1235,6
120,0,0,0,0,114,1236
121,0,0,63,1237,713,42
122,0,86,125,1238,309,1239
123,0,0,0,9,1240,6
124,1241,714,252,714,1242,1243
125,0,0,16,715,498,26
126,0,0,217,7,251,493
127,0,0,0,7,186,716
128,0,0,0,0,10,1244
129,0,0,7,495,2,296
130,0,0,0,53,33,717
131,0,0,0,187,1245,168
132,0,0,0,0,60,1246
133,115,13,1247,499,87,1248
134,0,0,0,1249,1250,1251
135,33,678,253,1252,47,718
136,0,0,0,0,1253,1254
137,0,0,500,1255,36,374
138,0,0,0,1256,375,376
139,0,0,0,1257,1258,310
140,0,0,0,719,24,1259
141,0,0,0,311,376,1260
142,0,0,1261,1262,36,218
143,0,0,0,1263,1264,1265
144,0,31,8,50,28,188
145,497,377,720,1267,11,59
146,0,378,182,2,23,721
147,0,1268,77,1269,35,169
148,0,0,0,1270,501,137
149,0,45,25,722,1271,138
150,4,45,1272,8,1273,8
151,1274,1275,43,139,28,1276
152,723,139,1277,153,724,1278
153,0,0,1279,301,725,126
154,0,502,361,306,182,1280
155,0,0,1281,503,504,38
156,0,1282,165,379,1283,153
157,0,40,505,312,313,726
158,113,314,153,1284,212,18
159,54,380,116,4,117,1285
160,0,0,1286,73,727,127
161,0,0,0,0,728,506
162,0,0,27,729,315,381
163,729,18,10,1287,1288,18
164,0,0,0,1,3,132
165,1289,5,3,1290,21,134
166,0,6,1291,254,18,66
167,0,0,5,1292,21,134
168,0,50,153,25,1293,6
169,0,0,0,503,1294,1295
170,507,307,122,21,1296,7
171,0,5,730,37,731,1297
172,0,12,97,24,1298,472
173,17,115,1299,248,21,134
174,0,255,2,1300,1301,316
175,0,13,25,2,1302,5
176,0,5,3,382,6,1303
177,0,0,2,1,3,87
178,0,12,5,21,3,87
179,0,0,0,98,1304,688
180,0,2,732,1305,508,317
181,0,0,0,2,733,1306
182,6,33,3,248,21,134
183,0,0,0,1307,1308,168
184,0,2,1309,1310,54,6
185,0,0,189,383,114,1311
186,11,114,1312,38,295,4
187,0,0,1313,88,734,1314
188,0,0,735,1315,736,154
189,0,1,509,6,34,219
190,0,0,0,0,1316,737
191,0,0,0,2,256,737
192,5,105,316,1,9,738
193,0,0,0,0,510,1317
194,0,0,0,12,6,6
195,0,0,106,95,733,384
196,0,0,5,3,76,1318
197,0,0,4,3,1319,1320
198,0,0,0,220,3,1321
199,0,0,0,2,739,155
200,0,385,89,20,740,8
201,0,0,0,156,27,511
202,0,0,135,257,39,318
203,0,248,10,1322,1323,1324
204,0,21,1325,1326,1327,8
205,0,1328,22,44,221,39
206,0,741,2,104,1329,1330
207,0,0,1331,1332,1333,1334
208,217,13,15,9,62,1335
209,128,49,374,386,1336,1337
210,1338,250,29,1339,44,1340
211,0,0,0,48,1341,319
212,0,0,88,9,1342,5
213,0,1343,1344,387,742,743
214,0,0,744,745,151,77
215,0,0,2,118,746,728
216,0,0,0,0,1345,1346
217,33,151,8,32,1347,1
218,0,0,0,386,313,73
219,0,0,0,33,1348,747
220,0,0,61,137,44,137
221,0,0,2,18,512,68
222,0,0,1,513,2,22
223,0,0,7,1349,748,90
224,0,86,1,40,166,1350
225,0,0,0,744,745,1351
226,0,0,2,22,746,747
227,0,0,0,0,4,749
228,0,0,0,2,22,1352
229,0,0,1353,4,749,1354
230,0,2,22,1355,750,1356
231,0,86,1,40,166,222
232,0,0,0,0,88,44
233,0,139,149,15,388,223
234,0,0,0,514,1357,63
235,0,0,0,15,389,223
236,0,0,190,27,511,310
237,0,0,13,25,515,1358
238,0,751,12,97,54,1359
239,0,0,752,191,1360,82
240,0,0,0,0,390,258
241,0,0,0,0,309,139
242,0,0,0,0,0,1361
243,0,0,0,0,1362,3
244,0,0,0,0,1363,83
245,0,0,516,2,91,54
246,0,0,0,0,1364,1365
247,0,0,192,12,22,373
248,0,0,0,83,21,1366
249,0,12,113,153,753,54
250,0,0,0,12,1367,126
251,0,0,0,1368,24,26
252,0,0,0,129,391,392
253,0,0,0,0,224,754
254,0,0,755,1369,31,8
255,0,0,0,0,190,754
256,0,0,0,756,757,84
257,0,259,20,1370,1371,393
258,225,21,127,517,11,19
259,0,0,259,74,758,138
260,0,69,759,98,124,260
261,0,0,224,117,1372,21
262,0,0,0,129,1373,1374
263,0,0,0,0,10,1375
264,0,0,0,0,54,125
265,0,0,107,140,1376,1377
266,0,0,49,212,22,1378
267,0,0,0,3,1379,1380
268,66,43,55,85,2,23
269,0,0,0,96,394,58
270,0,376,518,130,140,1381
271,107,1382,3,320,57,1383
272,0,359,53,7,58,760
273,0,0,1384,71,1385,99
274,0,0,11,112,1386,226
275,0,0,761,140,261,4
276,21,520,262,29,2,1387
277,0,0,0,86,23,1388
278,0,0,521,1389,193,1390
279,4,29,1391,762,1392,16
280,0,521,763,193,395,321
281,2,32,167,5,1394,16
282,14,27,26,764,2,104
283,0,0,0,48,11,322
284,0,0,0,1395,96,394
285,0,25,187,249,14,765
286,0,0,11,366,396,1396
287,0,0,0,0,766,1397
288,0,0,2,14,397,141
289,0,0,0,48,4,1398
290,0,0,0,4,380,1399
291,0,4,398,263,767,1400
292,0,0,14,1401,116,100
293,0,0,4,194,1402,170
294,0,0,0,519,323,89
295,0,0,14,399,1403,103
296,768,72,324,769,72,24
297,0,0,1404,770,3,157
298,0,0,0,0,13,25
299,0,17,380,299,771,522
300,0,0,0,98,1405,254
301,0,0,0,48,264,103
302,0,772,325,1406,773,1407
303,0,0,0,171,14,1408
304,0,0,0,14,523,400
305,0,0,0,0,25,1409
306,0,0,0,1410,96,774
307,0,0,0,0,172,158
308,0,0,0,50,1411,7
309,0,0,0,0,1412,473
310,0,0,0,1,31,21
311,0,0,48,73,18,66
312,0,0,0,401,18,66
313,0,0,48,1413,18,66
314,0,0,0,0,1414,1415
315,0,0,9,1416,72,2
316,0,0,0,142,1417,211
317,0,96,524,5,33,525
318,0,0,0,30,1418,1419
319,0,0,96,1420,1,1421
320,0,0,0,752,526,1422
321,0,0,0,0,1423,38
322,0,527,1424,127,775,265
323,0,0,0,0,96,1425
324,0,0,70,1426,775,265
325,0,0,28,12,49,1427
326,0,0,0,85,55,296
327,0,1428,17,395,24,92
328,0,0,0,0,1429,211
329,0,0,94,1430,135,776
330,0,0,0,81,44,1431
331,0,0,0,0,74,777
332,0,0,0,0,99,1432
333,0,0,0,778,313,1433
334,0,0,0,0,1434,1435
335,0,0,0,0,227,90
336,0,48,1,15,1436,779
337,0,0,63,15,684,779
338,0,0,0,780,96,774
339,0,0,0,0,0,1437
340,0,0,0,1,51,74
341,0,41,781,9,1438,38
342,0,0,107,1439,1440,402
343,0,0,46,782,1,528
344,0,0,7,311,529,111
345,0,0,0,9,713,1441
346,0,0,0,403,195,1442
347,266,1443,82,18,48,116
348,0,0,0,119,77,228
349,0,0,0,404,1444,265
350,0,0,0,783,143,405
351,0,0,0,183,1445,1446
352,0,0,11,1447,370,784
353,0,0,0,0,70,1448
354,0,0,1449,1450,378,67
355,11,136,1,40,1451,68
356,0,0,1452,381,315,1453
357,0,0,0,785,57,530
358,0,0,0,2,23,76
359,0,0,267,31,1454,103
360,0,0,0,786,62,787
361,0,788,1455,11,531,229
362,0,0,0,57,1456,45
363,0,0,0,789,790,1457
364,0,1458,103,46,2,180
365,0,133,133,133,15,230
366,0,57,312,41,1459,19
367,0,0,39,1460,1461,532
368,0,0,507,1462,791,792
369,0,0,7,1463,97,533
370,0,0,16,187,1464,793
371,0,406,92,10,794,116
372,267,720,407,15,1465,17
373,0,0,0,144,1466,1467
374,0,0,266,117,1468,211
375,0,0,0,1469,53,1470
376,326,1471,133,1472,1473,42
377,0,0,5,528,795,796
378,0,0,0,0,1,159
379,0,0,0,0,1474,196
380,0,0,0,0,7,131
381,0,0,0,0,1,128
382,0,5,93,12,52,8
383,0,0,0,1475,2,23
384,0,0,0,408,797,297
385,0,0,0,534,1,31
386,0,0,0,0,70,716
387,0,0,0,44,49,68
388,0,0,0,65,65,65
389,0,0,0,0,93,1476
390,0,0,0,0,2,104
391,0,0,0,14,6,535
392,0,0,0,45,1477,327
393,0,0,50,30,1478,130
394,0,0,142,10,798,214
395,409,173,1479,8,328,536
396,0,268,174,799,174,537
397,0,0,0,1480,119,6
398,0,48,116,1481,76,103
399,0,0,268,174,76,103
400,0,0,0,0,506,7
401,0,0,14,31,1482,138
402,0,0,7,800,801,802
403,0,0,0,0,140,112
404,0,0,0,0,538,16
405,0,0,0,269,1483,310
406,0,0,0,48,66,803
407,0,0,0,0,757,16
408,0,0,0,269,1484,310
409,0,0,0,0,490,329
410,0,0,270,53,4,3
411,0,0,140,4,330,3
412,0,0,3,157,3,157
413,0,5,539,153,100,16
414,0,0,0,0,540,1485
415,0,0,0,64,804,58
416,0,0,0,1486,60,1487
417,0,0,0,788,1488,24
418,0,1,74,758,196,120
419,0,75,7,85,105,1489
420,0,0,0,6,1490,271
421,0,0,60,27,1491,19
422,0,0,2,52,61,541
423,0,0,197,66,127,19
424,0,0,70,725,58,246
425,0,272,55,805,5,72
426,0,231,11,542,172,158
427,0,7,1492,231,1493,410
428,92,1494,9,331,19,485
429,0,33,806,100,243,5
430,0,0,1,1495,498,332
431,0,543,1496,37,1497,1
432,0,0,3,1498,6,120
433,0,0,0,0,0,6
434,0,544,1499,273,1,301
435,0,0,1500,12,1501,1502
436,0,0,1,1503,1504,19
437,0,272,55,805,2,1505
438,0,0,3,159,172,1506
439,0,11,1507,17,807,5
440,0,0,808,274,1,1508
441,0,0,1509,42,4,1510
442,0,0,739,121,16,1511
443,0,1512,1513,27,1514,1515
444,0,0,58,809,810,1516
445,1517,811,1518,1519,1520,1521
446,0,0,101,812,813,59
447,124,194,545,122,1522,8
448,0,0,198,814,1523,1524
449,0,0,0,135,815,1525
450,0,0,199,546,53,199
451,0,0,0,112,1526,816
452,0,180,547,817,1527,1528
453,0,411,1529,1530,1531,138
454,67,10,35,20,1532,226
455,50,153,2,104,23,474
456,88,333,192,1533,6,1534
457,0,0,198,83,13,1535
458,0,0,1,303,5,134
459,0,0,46,257,50,1536
460,0,0,1537,150,398,263
461,0,0,0,0,548,145
462,0,0,1,1538,5,549
463,0,0,199,114,53,199
464,0,5,275,128,1539,1540
465,0,7,10,1541,1542,1
466,0,0,0,276,35,413
467,277,4,64,1543,64,64
468,0,0,28,278,393,42
469,0,0,0,50,2,550
470,0,0,0,1544,413,413
471,0,0,306,182,818,818
472,0,0,0,154,1545,1546
473,551,551,1547,180,121,5
474,35,35,35,13,1548,35
475,552,552,552,13,276,1549
476,35,35,227,819,279,820
477,0,0,9,151,2,23
478,0,0,27,1550,8,39
479,0,0,0,276,35,413
480,0,0,28,278,393,42
481,1,40,821,13,30,1551
482,0,0,227,819,279,820
483,0,0,0,25,822,1
484,0,1552,1553,19,5,38
485,0,160,1,52,2,132
486,0,823,320,278,1554,316
487,0,0,0,0,2,1
488,0,0,33,539,125,405
489,0,0,0,0,553,25
490,0,0,0,554,1555,312
491,0,0,1556,1557,414,824
492,0,0,1558,1559,116,1560
493,0,0,0,35,334,1561
494,0,0,2,1,1562,316
495,0,94,1563,4,200,1
496,0,0,0,2,555,556
497,0,0,32,155,415,189
498,0,0,0,141,1564,383
499,0,0,45,10,17,83
500,0,0,0,0,1565,1566
501,825,78,541,18,4,826
502,0,81,9,827,1567,38
503,0,152,4,9,184,111
504,0,0,0,0,50,302
505,0,73,828,90,2,3
506,0,0,118,1568,83,1569
507,0,0,0,0,829,1570
508,0,0,20,41,1,1571
509,0,0,0,2,171,9
510,0,232,45,10,1,3
511,0,0,232,557,29,830
512,0,0,0,1,43,25
513,0,0,0,558,1572,1573
514,0,0,0,0,41,1574
515,0,0,24,556,690,416
516,0,83,64,183,1575,280
517,0,122,1576,559,34,84
518,60,220,2,23,560,535
519,0,0,12,831,158,417
520,0,0,2,561,99,418
521,0,0,172,1,3,382
522,0,0,0,17,83,73
523,0,0,0,0,261,1577
524,0,46,12,327,1578,6
525,0,0,0,9,3,233
526,0,0,232,557,29,335
527,0,0,558,832,562,1579
528,0,0,0,0,75,1580
529,0,0,94,1581,91,98
530,0,0,0,99,1582,419
531,0,0,0,0,25,1583
532,0,0,0,0,1584,1585
533,0,0,0,0,833,1586
534,0,0,0,0,39,1587
535,0,0,0,1588,399,62
536,0,0,0,1589,71,478
537,0,0,0,0,834,1590
538,0,0,0,0,1591,835
539,0,0,0,217,66,836
540,0,837,39,1592,216,150
541,0,0,1593,563,95,69
542,0,0,838,11,1594,112
543,0,0,0,0,1595,6
544,0,0,839,82,257,420
545,0,0,0,1596,1597,223
546,0,0,0,12,395,1598
547,0,0,81,29,15,840
548,0,0,0,9,175,1599
549,0,0,0,841,3,842
550,0,0,0,0,1600,835
551,0,0,0,0,176,836
552,0,0,0,564,1601,1602
553,0,11,1603,165,1604,1605
554,0,1606,1,565,309,139
555,0,1607,843,42,1608,153
556,0,837,13,299,146,150
557,0,0,1609,566,126,69
558,0,838,45,113,844,112
559,0,0,0,0,1610,6
560,0,0,567,270,1611,30
561,0,0,0,180,121,35
562,0,0,0,156,1612,1613
563,0,0,1614,168,54,275
564,0,0,0,154,1,4
565,0,0,0,568,508,1615
566,0,0,1616,62,1617,1618
567,0,5,151,8,845,561
568,0,0,73,824,57,547
569,0,1619,156,27,395,12
570,0,0,0,1620,2,301
571,0,0,0,1621,2,22
572,0,0,0,0,1622,160
573,0,4,5,175,491,123
574,0,0,281,84,9,1623
575,0,0,846,282,168,62
576,0,1,40,505,37,84
577,0,0,67,136,1,4
578,0,220,2,51,5,1
579,0,0,15,1624,21,1625
580,0,0,0,48,784,2
581,0,3,27,1626,55,569
582,0,0,0,1627,76,522
583,0,0,0,1628,282,1629
584,0,0,1630,97,37,336
585,0,0,0,847,1631,1632
586,0,0,0,2,3,570
587,0,1633,35,1634,1635,335
588,0,0,0,0,848,46
589,0,0,145,268,18,849
590,0,0,7,10,1636,79
591,0,0,421,571,2,1637
592,0,0,0,376,117,161
593,0,0,0,850,6,34
594,0,0,0,2,52,1638
595,0,0,0,22,1639,1640
596,0,108,572,422,29,34
597,0,0,2,234,171,1641
598,0,13,59,1,155,397
599,0,0,0,0,201,160
600,0,0,0,17,51,5
601,0,0,270,136,17,379
602,0,0,0,0,423,1642
603,0,851,424,146,73,202
604,0,0,1,89,852,46
605,0,0,0,0,1643,252
606,0,0,0,9,3,233
607,0,1644,5,63,15,199
608,0,692,1,35,169,133
609,0,119,47,401,47,573
610,0,385,764,1,104,1645
611,176,1646,231,39,141,1647
612,0,57,1648,67,181,95
613,0,63,15,1,175,1649
614,12,21,11,78,321,78
615,373,74,63,297,1650,78
616,0,58,1651,103,337,50
617,0,0,500,783,126,853
618,0,1,58,315,3,566
619,0,0,1652,103,337,50
620,0,0,182,338,5,199
621,0,0,1,1653,1654,159
622,0,0,25,795,176,34
623,568,53,256,28,425,426
624,0,0,198,54,14,339
625,0,0,0,0,0,568
626,0,329,45,28,425,426
627,0,108,45,427,14,428
628,0,0,0,0,28,1655
629,0,0,0,4,14,479
630,0,0,0,235,25,575
631,0,0,0,235,25,52
632,0,0,14,429,222,854
633,0,20,1656,20,340,157
634,0,0,2,52,1657,410
635,0,0,0,576,340,1658
636,0,855,17,40,1659,271
637,11,322,236,1660,256,89
638,0,0,4,14,4,14
639,0,0,0,195,341,856
640,0,0,0,857,1661,858
641,0,0,0,177,859,78
642,341,11,366,341,195,341
643,0,430,6,28,425,426
644,0,131,14,1662,1663,5
645,0,0,0,0,0,577
646,0,3,6,28,425,426
647,0,0,0,131,49,860
648,0,0,0,0,411,1664
649,0,0,0,553,25,575
650,0,0,0,0,553,25
651,0,195,14,429,222,854
652,20,578,861,20,114,861
653,0,0,0,14,52,1665
654,0,0,0,0,576,114
655,0,0,0,195,341,856
656,0,0,0,0,2,102
657,0,0,0,1666,16,14
658,0,0,0,75,3,431
659,0,0,4,6,34,579
660,0,0,0,0,862,79
661,0,0,0,75,862,79
662,0,0,0,2,2,1667
663,0,0,3,34,580,6
664,855,17,40,1668,13,30
665,65,33,175,1669,13,1670
666,0,0,0,177,859,78
667,0,0,0,1,166,325
668,0,0,0,1671,1672,581
669,0,0,0,93,159,42
670,0,0,0,110,582,863
671,0,0,0,93,1673,1674
672,0,0,30,1675,21,1676
673,0,0,0,267,31,1677
674,0,0,0,342,161,864
675,0,0,0,3,94,1678
676,0,574,1679,865,583,1
677,0,0,0,1680,69,863
678,0,0,1,166,19,1681
679,0,5,275,12,128,432
680,0,0,0,1,75,866
681,0,0,0,1682,1683,867
682,0,0,0,1684,95,8
683,0,0,0,36,1685,1686
684,433,1687,19,93,139,584
685,0,0,1688,1689,1690,90
686,0,433,13,180,1691,90
687,0,13,203,301,868,28
688,0,41,1692,41,3,869
689,0,0,91,17,1693,400
690,142,404,1694,142,404,1695
691,0,0,237,114,1696,8
692,41,83,129,249,178,47
693,0,0,0,1697,166,274
694,0,0,1698,700,1699,99
695,0,0,129,118,1700,8
696,0,107,585,44,870,3
697,1701,362,194,871,1702,18
698,0,0,14,308,1703,3
699,17,586,1704,587,178,47
700,0,155,4,10,1705,8
701,237,24,246,129,283,1706
702,0,0,243,5,1707,588
703,0,11,19,589,3,1708
704,6,34,339,18,123,37
705,0,107,585,590,105,1709
706,0,0,14,3,5,1710
707,11,362,55,4,47,14
708,0,0,1711,421,571,104
709,0,2,22,67,66,1712
710,82,1713,591,82,1714,1715
711,284,1717,780,119,2,23
712,17,150,92,10,872,84
713,0,0,284,284,284,284
714,37,384,70,66,1720,6
715,336,1,262,29,4,873
716,2,1721,11,366,1722,434
717,592,435,16,10,235,1723
718,6,76,400,14,22,585
719,702,97,5,264,76,103
720,0,0,0,83,24,1724
721,0,0,18,1725,99,738
722,593,529,1726,875,876,416
723,0,0,0,1727,1728,1729
724,0,0,0,14,147,14
725,0,2,594,2,73,3
726,0,46,877,43,36,436
727,0,0,0,14,4,1730
728,0,0,0,11,52,1731
729,8,1732,6,857,1733,6
730,0,0,0,1734,1735,1736
731,0,46,14,33,283,1737
732,0,0,14,330,2,3
733,0,4,595,3,34,803
734,0,0,0,0,14,225
735,0,0,4,22,66,1738
736,0,0,878,1,31,588
737,0,0,0,0,1739,5
738,0,0,0,0,1,1740
739,0,0,0,0,22,1741
740,0,0,0,0,4,879
741,0,0,0,880,1742,120
742,0,0,0,823,1743,120
743,0,0,48,2,285,1744
744,0,0,1,111,285,79
745,0,0,0,0,0,106
746,0,0,0,1,881,691
747,0,0,0,0,1745,77
748,0,0,2,285,596,286
749,0,0,0,0,4,44
750,0,0,0,0,66,82
751,0,0,2,1,1746,18
752,0,0,0,0,1747,19
753,0,0,0,0,0,298
754,0,0,0,596,1748,344
755,0,0,0,51,1749,344
756,0,0,4,596,1750,2
757,0,1,6,34,437,285
758,0,0,0,63,584,344
759,0,0,0,0,0,115
760,0,0,0,0,0,1751
761,0,0,31,72,2,1752
762,0,0,0,0,882,105
763,0,0,7,878,1753,18
764,0,0,471,7,883,1754
765,0,0,0,13,51,1
766,0,0,0,0,1755,1756
767,0,0,2,3,147,69
768,0,0,0,1,1757,18
769,0,0,0,14,37,69
770,0,0,0,0,1758,8
771,0,4,1,3,8,105
772,0,0,0,16,541,18
773,0,0,0,1759,12,104
774,0,0,0,0,0,884
775,0,0,10,247,371,79
776,0,73,123,3,369,8
777,0,0,0,371,264,8
778,0,0,0,2,118,1760
779,0,0,2,80,1761,252
780,0,0,0,88,1762,82
781,0,0,73,123,3,287
782,0,0,0,2,80,178
783,0,0,0,560,34,371
784,0,0,0,0,1763,1764
785,0,0,0,184,300,56
786,0,0,1765,12,3,72
787,0,0,546,53,438,175
788,0,0,237,24,324,885
789,0,0,0,491,72,3
790,0,0,0,11,36,387
791,0,0,0,126,1766,175
792,0,0,0,0,1767,58
793,0,0,0,71,1768,29
794,0,0,1769,886,170,1770
795,0,0,0,0,5,30
796,0,0,0,1771,1772,885
797,0,0,0,0,31,194
798,0,0,0,0,887,1773
799,0,0,242,1774,888,887
800,0,0,438,62,1,62
801,0,0,12,3,1775,1776
802,0,0,303,1777,1778,29
803,0,0,1,124,1779,3
804,0,57,67,156,71,236
805,0,0,0,67,105,1780
806,0,0,0,0,1781,170
807,0,0,308,1782,11,3
808,0,0,0,1783,1784,279
809,0,0,0,0,2,80
810,0,0,81,438,3,157
811,0,0,0,0,438,175
812,0,0,2,80,889,1785
813,0,0,0,0,135,3
814,0,0,0,31,248,1786
815,0,0,0,1787,2,80
816,0,0,0,81,204,890
817,0,0,0,242,323,255
818,0,0,10,29,391,214
819,592,4,92,1788,43,191
820,0,0,0,1789,121,18
821,0,0,0,1790,87,286
822,0,1791,121,37,1792,37
823,1793,34,37,185,282,18
824,205,1794,2,23,122,1795
825,0,0,0,355,597,214
826,0,0,355,355,597,214
827,0,560,127,18,1,1796
828,0,0,0,891,1797,1798
829,0,0,1799,1800,1801,18
830,0,1802,892,108,229,193
831,218,717,317,238,43,18
832,0,0,0,1803,5,893
833,0,0,0,11,99,893
834,118,9,151,8,439,1804
835,0,0,50,874,1805,581
836,0,99,583,71,279,843
837,0,1,1806,139,1807,480
838,0,0,1808,20,894,87
839,0,12,895,252,850,598
840,0,0,81,7,9,1809
841,0,0,3,20,264,419
842,0,0,118,144,58,809
843,0,0,1810,93,894,87
844,0,0,14,241,93,1811
845,0,0,206,440,441,442
846,0,0,46,17,441,442
847,0,4,443,9,283,599
848,0,0,0,206,1812,344
849,0,0,896,440,441,442
850,0,0,385,440,58,1813
851,0,0,0,0,502,897
852,0,7,58,9,283,599
853,0,106,283,599,896,442
854,4,60,898,8,345,37
855,0,0,0,7,1,600
856,0,0,8,345,166,37
857,0,0,516,12,1814,899
858,0,0,0,430,1815,37
859,7,1,600,8,345,37
860,0,7,258,58,1816,900
861,32,62,901,156,444,162
862,0,0,0,36,444,1817
863,0,0,0,0,206,440
864,0,0,3,537,441,1818
865,0,3,537,4,60,1819
866,0,60,898,8,345,37
867,26,1820,24,11,51,59
868,0,0,901,1,4,74
869,0,0,0,11,154,99
870,0,63,15,1821,74,26
871,7,1,600,8,345,37
872,0,7,258,58,902,900
873,0,0,0,0,578,1822
874,0,903,70,408,9,391
875,0,0,143,1823,97,1
876,0,4,46,34,6,579
877,0,11,322,904,905,1824
878,0,0,173,799,85,906
879,0,0,149,1825,202,1826
880,93,907,55,756,34,1827
881,424,45,73,601,555,1828
882,0,14,252,18,602,434
883,0,207,14,23,205,1829
884,0,0,33,388,16,162
885,0,0,0,0,0,845
886,0,0,16,908,14,909
887,0,0,0,0,14,1830
888,0,0,2,388,16,162
889,0,0,0,0,0,531
890,0,0,0,3,185,157
891,202,82,2,603,604,91
892,0,0,0,1831,161,1832
893,0,0,0,3,185,157
894,0,7,25,910,911,260
895,0,10,220,605,195,912
896,0,0,220,605,195,912
897,0,0,33,884,14,1833
898,0,0,4,388,14,27
899,0,0,0,0,0,154
900,0,0,159,908,140,909
901,0,0,0,0,6,1834
902,0,0,3,185,157,101
903,0,0,0,549,1835,1836
904,0,0,0,477,544,1837
905,1838,1839,1840,1841,913,1842
906,0,0,17,91,356,325
907,403,1843,914,423,1844,298
908,0,106,98,1845,392,1846
909,0,48,834,1847,15,1848
910,0,0,0,47,1849,1850
911,0,356,19,411,915,1851
912,0,0,250,34,445,1852
913,0,0,0,34,147,340
914,0,0,0,0,1853,1854
915,0,1855,1856,2,1857,381
916,0,0,1858,1859,346,1860
917,0,65,30,1861,161,598
918,7,409,173,486,1862,916
919,0,115,183,120,1863,174
920,0,0,0,346,17,1864
921,0,0,0,0,917,432
922,0,0,346,2,255,1865
923,48,1866,58,902,319,42
924,0,2,191,69,918,1867
925,41,1868,1869,111,208,1870
926,148,10,1871,1872,2,732
927,0,0,1873,80,1874,21
928,603,2,1875,253,11,1876
929,0,1877,1878,919,1879,1880
930,0,0,0,1881,1882,1883
931,5,49,606,1884,607,100
932,0,0,0,0,920,921
933,0,0,198,5,922,26
934,0,0,11,80,241,923
935,0,3,259,59,372,1885
936,608,1887,7,173,3,1888
937,0,0,509,6,259,1889
938,0,924,446,89,1890,797
939,0,0,2,741,14,91
940,918,3,375,11,322,46
941,0,0,0,0,51,186
942,0,0,0,28,9,609
943,0,2,386,1891,380,68
