,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
36,481.0,357.0,244.0,18.0,,,,,,,,,,,
37,2.0,1.0,687.0,94.0,688.0,,,,,,,,,,
38,36.0,16.0,15.0,1176.0,,,,,,,,,,,
39,1177.0,359.0,482.0,1178.0,11.0,3.0,,,,,,,,,
40,1.0,64.0,1179.0,,,,,,,,,,,,
41,1.0,245.0,245.0,300.0,,,,,,,,,,,
42,1180.0,12.0,301.0,1181.0,,,,,,,,,,,
43,49.0,212.0,23.0,1.0,151.0,11.0,352.0,,,,,,,,
44,12.0,52.0,680.0,1182.0,,,,,,,,,,,
45,50.0,689.0,,,,,,,,,,,,,
46,690.0,1183.0,58.0,246.0,,,,,,,,,,,
47,131.0,133.0,360.0,361.0,,,,,,,,,,,
48,20.0,483.0,12.0,49.0,213.0,,,,,,,,,,
49,12.0,244.0,10.0,94.0,1184.0,,,,,,,,,,
50,362.0,1185.0,2.0,,,,,,,,,,,,
51,484.0,104.0,691.0,1186.0,214.0,,,,,,,,,,
52,2.0,111.0,,,,,,,,,,,,,
53,131.0,133.0,360.0,361.0,20.0,483.0,,,,,,,,,
54,12.0,49.0,213.0,,,,,,,,,,,,
55,36.0,165.0,10.0,1187.0,,,,,,,,,,,
56,692.0,10.0,215.0,10.0,9.0,3.0,8.0,,,,,,,,
57,60.0,1188.0,245.0,485.0,,,,,,,,,,,
58,693.0,363.0,1189.0,,,,,,,,,,,,
59,359.0,53.0,23.0,76.0,29.0,11.0,694.0,,,,,,,,
60,9.0,3.0,6.0,,,,,,,,,,,,
61,112.0,302.0,486.0,,,,,,,,,,,,
62,2.0,23.0,1.0,52.0,134.0,,,,,,,,,,
63,65.0,45.0,364.0,1.0,31.0,1190.0,,,,,,,,,
64,44.0,49.0,213.0,,,,,,,,,,,,
65,6.0,695.0,303.0,,,,,,,,,,,,
66,135.0,5.0,1191.0,,,,,,,,,,,,
67,7.0,9.0,60.0,,,,,,,,,,,,
68,696.0,1192.0,304.0,37.0,,,,,,,,,,,
69,1193.0,1194.0,38.0,,,,,,,,,,,,
70,697.0,72.0,,,,,,,,,,,,,
71,10.0,1195.0,1196.0,,,,,,,,,,,,
72,2.0,32.0,1197.0,,,,,,,,,,,,
73,67.0,4.0,1198.0,,,,,,,,,,,,
74,11.0,247.0,487.0,166.0,,,,,,,,,,,
75,27.0,488.0,698.0,365.0,,,,,,,,,,,
76,305.0,5.0,27.0,488.0,698.0,365.0,,,,,,,,,
77,1199.0,123.0,54.0,,,,,,,,,,,,
78,306.0,1200.0,,,,,,,,,,,,,
79,6.0,695.0,303.0,85.0,5.0,,,,,,,,,,
80,4.0,9.0,489.0,699.0,,,,,,,,,,,
81,2.0,27.0,1201.0,,,,,,,,,,,,
82,490.0,95.0,700.0,,,,,,,,,,,,
83,180.0,487.0,166.0,,,,,,,,,,,,
84,701.0,248.0,1202.0,365.0,,,,,,,,,,,
85,1203.0,124.0,701.0,307.0,488.0,702.0,365.0,,,,,,,,
86,1204.0,703.0,491.0,1205.0,11.0,,,,,,,,,,
87,17.0,1206.0,1207.0,8.0,,,,,,,,,,,
88,181.0,182.0,136.0,,,,,,,,,,,,
89,1208.0,1209.0,484.0,1.0,,,,,,,,,,,
90,492.0,183.0,184.0,366.0,,,,,,,,,,,
91,32.0,10.0,704.0,,,,,,,,,,,,
92,705.0,,,,,,,,,,,,,,
93,96.0,1210.0,,,,,,,,,,,,,
94,41.0,152.0,185.0,1211.0,,,,,,,,,,,
95,1.0,32.0,367.0,368.0,59.0,,,,,,,,,,
96,10.0,249.0,25.0,1.0,1212.0,8.0,,,,,,,,,
97,1213.0,493.0,494.0,,,,,,,,,,,,
98,7.0,1.0,32.0,167.0,,,,,,,,,,,
99,706.0,46.0,,,,,,,,,,,,,
100,1214.0,707.0,38.0,,,,,,,,,,,,
101,216.0,1215.0,71.0,1216.0,,,,,,,,,,,
102,250.0,708.0,481.0,,,,,,,,,,,,
103,2.0,32.0,369.0,6.0,,,,,,,,,,,
104,1217.0,4.0,1218.0,,,,,,,,,,,,
105,495.0,1219.0,,,,,,,,,,,,,
106,1220.0,1221.0,,,,,,,,,,,,,
107,370.0,496.0,370.0,496.0,370.0,496.0,,,,,,,,,
108,1222.0,1223.0,1224.0,,,,,,,,,,,,
109,367.0,368.0,32.0,1225.0,,,,,,,,,,,
110,7.0,250.0,709.0,8.0,,,,,,,,,,,
111,57.0,497.0,251.0,493.0,,,,,,,,,,,
112,9.0,217.0,2.0,1226.0,,,,,,,,,,,
113,1227.0,710.0,371.0,,,,,,,,,,,,
114,372.0,1228.0,308.0,,,,,,,,,,,,
115,1229.0,34.0,43.0,1230.0,,,,,,,,,,,
116,2.0,1231.0,711.0,8.0,,,,,,,,,,,
117,10.0,373.0,1232.0,1233.0,,,,,,,,,,,
118,1234.0,113.0,712.0,6.0,,,,,,,,,,,
119,495.0,1235.0,6.0,,,,,,,,,,,,
120,114.0,1236.0,,,,,,,,,,,,,
121,63.0,1237.0,713.0,42.0,,,,,,,,,,,
122,86.0,125.0,1238.0,309.0,1239.0,,,,,,,,,,
123,9.0,1240.0,6.0,,,,,,,,,,,,
124,1241.0,714.0,252.0,714.0,1242.0,1243.0,,,,,,,,,
125,16.0,715.0,498.0,26.0,,,,,,,,,,,
126,217.0,7.0,251.0,493.0,,,,,,,,,,,
127,7.0,186.0,716.0,,,,,,,,,,,,
128,10.0,1244.0,,,,,,,,,,,,,
129,7.0,495.0,2.0,296.0,,,,,,,,,,,
130,53.0,33.0,717.0,,,,,,,,,,,,
131,187.0,1245.0,168.0,,,,,,,,,,,,
132,60.0,1246.0,,,,,,,,,,,,,
133,115.0,13.0,1247.0,499.0,87.0,1248.0,,,,,,,,,
134,1249.0,1250.0,1251.0,,,,,,,,,,,,
135,33.0,678.0,253.0,1252.0,47.0,718.0,,,,,,,,,
136,1253.0,1254.0,,,,,,,,,,,,,
137,500.0,1255.0,36.0,374.0,,,,,,,,,,,
138,1256.0,375.0,376.0,,,,,,,,,,,,
139,1257.0,1258.0,310.0,,,,,,,,,,,,
140,719.0,24.0,1259.0,,,,,,,,,,,,
141,311.0,376.0,1260.0,,,,,,,,,,,,
142,1261.0,1262.0,36.0,218.0,,,,,,,,,,,
143,1263.0,1264.0,1265.0,,,,,,,,,,,,
144,31.0,8.0,50.0,28.0,188.0,,,,,,,,,,
145,1266.0,497.0,377.0,720.0,1267.0,11.0,59.0,,,,,,,,
146,378.0,182.0,2.0,23.0,721.0,,,,,,,,,,
147,1268.0,77.0,1269.0,35.0,169.0,,,,,,,,,,
148,1270.0,501.0,137.0,,,,,,,,,,,,
149,45.0,25.0,722.0,1271.0,138.0,,,,,,,,,,
150,2.0,4.0,45.0,1272.0,8.0,1273.0,8.0,,,,,,,,
151,1274.0,1275.0,43.0,139.0,28.0,1276.0,,,,,,,,,
152,723.0,139.0,1277.0,153.0,724.0,1278.0,,,,,,,,,
153,1279.0,301.0,725.0,126.0,,,,,,,,,,,
154,502.0,361.0,306.0,182.0,1280.0,,,,,,,,,,
155,1281.0,503.0,504.0,38.0,,,,,,,,,,,
156,1282.0,165.0,379.0,1283.0,153.0,,,,,,,,,,
157,40.0,505.0,312.0,313.0,726.0,,,,,,,,,,
158,113.0,314.0,153.0,1284.0,212.0,18.0,,,,,,,,,
159,54.0,380.0,116.0,4.0,117.0,1285.0,,,,,,,,,
160,1286.0,73.0,727.0,127.0,,,,,,,,,,,
161,728.0,506.0,,,,,,,,,,,,,
162,27.0,729.0,315.0,381.0,,,,,,,,,,,
163,23.0,729.0,18.0,10.0,1287.0,1288.0,18.0,,,,,,,,
164,1.0,3.0,132.0,,,,,,,,,,,,
165,1289.0,5.0,3.0,1290.0,21.0,134.0,,,,,,,,,
166,6.0,1291.0,254.0,18.0,66.0,,,,,,,,,,
167,5.0,1292.0,21.0,134.0,,,,,,,,,,,
168,50.0,153.0,25.0,1293.0,6.0,,,,,,,,,,
169,503.0,1294.0,1295.0,,,,,,,,,,,,
170,507.0,307.0,122.0,21.0,1296.0,7.0,,,,,,,,,
171,5.0,730.0,37.0,731.0,1297.0,,,,,,,,,,
172,12.0,97.0,24.0,1298.0,472.0,,,,,,,,,,
173,17.0,115.0,1299.0,248.0,21.0,134.0,,,,,,,,,
174,255.0,2.0,1300.0,1301.0,316.0,,,,,,,,,,
175,13.0,25.0,2.0,1302.0,5.0,,,,,,,,,,
176,5.0,3.0,382.0,6.0,1303.0,,,,,,,,,,
177,2.0,1.0,3.0,87.0,,,,,,,,,,,
178,12.0,5.0,21.0,3.0,87.0,,,,,,,,,,
179,98.0,1304.0,688.0,,,,,,,,,,,,
180,2.0,732.0,1305.0,508.0,317.0,,,,,,,,,,
181,2.0,733.0,1306.0,,,,,,,,,,,,
182,6.0,33.0,3.0,248.0,21.0,134.0,,,,,,,,,
183,1307.0,1308.0,168.0,,,,,,,,,,,,
184,2.0,1309.0,1310.0,54.0,6.0,,,,,,,,,,
185,189.0,383.0,114.0,1311.0,,,,,,,,,,,
186,11.0,114.0,1312.0,38.0,295.0,4.0,,,,,,,,,
187,1313.0,88.0,734.0,1314.0,,,,,,,,,,,
188,735.0,1315.0,736.0,154.0,,,,,,,,,,,
189,1.0,509.0,6.0,34.0,219.0,,,,,,,,,,
190,1316.0,737.0,,,,,,,,,,,,,
191,2.0,256.0,737.0,,,,,,,,,,,,
192,70.0,5.0,105.0,316.0,1.0,9.0,738.0,,,,,,,,
193,510.0,1317.0,,,,,,,,,,,,,
194,12.0,6.0,6.0,,,,,,,,,,,,
195,106.0,95.0,733.0,384.0,,,,,,,,,,,
196,5.0,3.0,76.0,1318.0,,,,,,,,,,,
197,4.0,3.0,1319.0,1320.0,,,,,,,,,,,
198,220.0,3.0,1321.0,,,,,,,,,,,,
199,2.0,739.0,155.0,,,,,,,,,,,,
200,385.0,89.0,20.0,740.0,8.0,,,,,,,,,,
201,156.0,27.0,511.0,,,,,,,,,,,,
202,135.0,257.0,39.0,318.0,,,,,,,,,,,
203,248.0,10.0,1322.0,1323.0,1324.0,,,,,,,,,,
204,21.0,1325.0,1326.0,1327.0,8.0,,,,,,,,,,
205,1328.0,22.0,44.0,221.0,39.0,,,,,,,,,,
206,741.0,2.0,104.0,1329.0,1330.0,,,,,,,,,,
207,1331.0,1332.0,1333.0,1334.0,,,,,,,,,,,
208,217.0,13.0,15.0,9.0,62.0,1335.0,,,,,,,,,
209,2.0,128.0,49.0,374.0,386.0,1336.0,1337.0,,,,,,,,
210,1338.0,250.0,29.0,1339.0,44.0,1340.0,,,,,,,,,
211,48.0,1341.0,319.0,,,,,,,,,,,,
212,88.0,9.0,1342.0,5.0,,,,,,,,,,,
213,1343.0,1344.0,387.0,742.0,743.0,,,,,,,,,,
214,744.0,745.0,151.0,77.0,,,,,,,,,,,
215,2.0,118.0,746.0,728.0,,,,,,,,,,,
216,1345.0,1346.0,,,,,,,,,,,,,
217,33.0,151.0,8.0,32.0,1347.0,1.0,,,,,,,,,
218,386.0,313.0,73.0,,,,,,,,,,,,
219,33.0,1348.0,747.0,,,,,,,,,,,,
220,61.0,137.0,44.0,137.0,,,,,,,,,,,
221,2.0,18.0,512.0,68.0,,,,,,,,,,,
222,1.0,513.0,2.0,22.0,,,,,,,,,,,
223,7.0,1349.0,748.0,90.0,,,,,,,,,,,
224,86.0,1.0,40.0,166.0,1350.0,,,,,,,,,,
225,744.0,745.0,1351.0,,,,,,,,,,,,
226,2.0,22.0,746.0,747.0,,,,,,,,,,,
227,4.0,749.0,,,,,,,,,,,,,
228,2.0,22.0,1352.0,,,,,,,,,,,,
229,1353.0,4.0,749.0,1354.0,,,,,,,,,,,
230,2.0,22.0,1355.0,750.0,1356.0,,,,,,,,,,
231,86.0,1.0,40.0,166.0,222.0,,,,,,,,,,
232,88.0,44.0,,,,,,,,,,,,,
233,139.0,149.0,15.0,388.0,223.0,,,,,,,,,,
234,514.0,1357.0,63.0,,,,,,,,,,,,
235,15.0,389.0,223.0,,,,,,,,,,,,
236,190.0,27.0,511.0,310.0,,,,,,,,,,,
237,13.0,25.0,515.0,1358.0,,,,,,,,,,,
238,751.0,12.0,97.0,54.0,1359.0,,,,,,,,,,
239,752.0,191.0,1360.0,82.0,,,,,,,,,,,
240,390.0,258.0,,,,,,,,,,,,,
241,309.0,139.0,,,,,,,,,,,,,
242,1361.0,,,,,,,,,,,,,,
243,1362.0,3.0,,,,,,,,,,,,,
244,1363.0,83.0,,,,,,,,,,,,,
245,516.0,2.0,91.0,54.0,,,,,,,,,,,
246,1364.0,1365.0,,,,,,,,,,,,,
247,192.0,12.0,22.0,373.0,,,,,,,,,,,
248,83.0,21.0,1366.0,,,,,,,,,,,,
249,12.0,113.0,153.0,753.0,54.0,,,,,,,,,,
250,12.0,1367.0,126.0,,,,,,,,,,,,
251,1368.0,24.0,26.0,,,,,,,,,,,,
252,129.0,391.0,392.0,,,,,,,,,,,,
253,224.0,754.0,,,,,,,,,,,,,
254,755.0,1369.0,31.0,8.0,,,,,,,,,,,
255,190.0,754.0,,,,,,,,,,,,,
256,756.0,757.0,84.0,,,,,,,,,,,,
257,259.0,20.0,1370.0,1371.0,393.0,,,,,,,,,,
258,46.0,225.0,21.0,127.0,517.0,11.0,19.0,,,,,,,,
259,259.0,74.0,758.0,138.0,,,,,,,,,,,
260,69.0,759.0,98.0,124.0,260.0,,,,,,,,,,
261,224.0,117.0,1372.0,21.0,,,,,,,,,,,
262,129.0,1373.0,1374.0,,,,,,,,,,,,
263,10.0,1375.0,,,,,,,,,,,,,
264,54.0,125.0,,,,,,,,,,,,,
265,107.0,140.0,1376.0,1377.0,,,,,,,,,,,
266,49.0,212.0,22.0,1378.0,,,,,,,,,,,
267,3.0,1379.0,1380.0,,,,,,,,,,,,
268,66.0,43.0,55.0,85.0,2.0,23.0,,,,,,,,,
269,96.0,394.0,58.0,,,,,,,,,,,,
270,376.0,518.0,130.0,140.0,1381.0,,,,,,,,,,
271,107.0,1382.0,3.0,320.0,57.0,1383.0,,,,,,,,,
272,359.0,53.0,7.0,58.0,760.0,,,,,,,,,,
273,1384.0,71.0,1385.0,99.0,,,,,,,,,,,
274,11.0,112.0,1386.0,226.0,,,,,,,,,,,
275,761.0,140.0,261.0,4.0,,,,,,,,,,,
276,519.0,21.0,520.0,262.0,29.0,2.0,1387.0,,,,,,,,
277,86.0,23.0,1388.0,,,,,,,,,,,,
278,521.0,1389.0,193.0,1390.0,,,,,,,,,,,
279,4.0,29.0,1391.0,762.0,1392.0,16.0,,,,,,,,,
280,521.0,763.0,193.0,395.0,321.0,,,,,,,,,,
281,1393.0,2.0,32.0,167.0,5.0,1394.0,16.0,,,,,,,,
282,14.0,27.0,26.0,764.0,2.0,104.0,,,,,,,,,
283,48.0,11.0,322.0,,,,,,,,,,,,
284,1395.0,96.0,394.0,,,,,,,,,,,,
285,25.0,187.0,249.0,14.0,765.0,,,,,,,,,,
286,11.0,366.0,396.0,1396.0,,,,,,,,,,,
287,766.0,1397.0,,,,,,,,,,,,,
288,2.0,14.0,397.0,141.0,,,,,,,,,,,
289,48.0,4.0,1398.0,,,,,,,,,,,,
290,4.0,380.0,1399.0,,,,,,,,,,,,
291,4.0,398.0,263.0,767.0,1400.0,,,,,,,,,,
292,14.0,1401.0,116.0,100.0,,,,,,,,,,,
293,4.0,194.0,1402.0,170.0,,,,,,,,,,,
294,519.0,323.0,89.0,,,,,,,,,,,,
295,14.0,399.0,1403.0,103.0,,,,,,,,,,,
296,2.0,768.0,72.0,324.0,769.0,72.0,24.0,,,,,,,,
297,1404.0,770.0,3.0,157.0,,,,,,,,,,,
298,13.0,25.0,,,,,,,,,,,,,
299,17.0,380.0,299.0,771.0,522.0,,,,,,,,,,
300,98.0,1405.0,254.0,,,,,,,,,,,,
301,48.0,264.0,103.0,,,,,,,,,,,,
302,772.0,325.0,1406.0,773.0,1407.0,,,,,,,,,,
303,171.0,14.0,1408.0,,,,,,,,,,,,
304,14.0,523.0,400.0,,,,,,,,,,,,
305,25.0,1409.0,,,,,,,,,,,,,
306,1410.0,96.0,774.0,,,,,,,,,,,,
307,172.0,158.0,,,,,,,,,,,,,
308,50.0,1411.0,7.0,,,,,,,,,,,,
309,1412.0,473.0,,,,,,,,,,,,,
310,1.0,31.0,21.0,,,,,,,,,,,,
311,48.0,73.0,18.0,66.0,,,,,,,,,,,
312,401.0,18.0,66.0,,,,,,,,,,,,
313,48.0,1413.0,18.0,66.0,,,,,,,,,,,
314,1414.0,1415.0,,,,,,,,,,,,,
315,9.0,1416.0,72.0,2.0,,,,,,,,,,,
316,142.0,1417.0,211.0,,,,,,,,,,,,
317,96.0,524.0,5.0,33.0,525.0,,,,,,,,,,
318,30.0,1418.0,1419.0,,,,,,,,,,,,
319,96.0,1420.0,1.0,1421.0,,,,,,,,,,,
320,752.0,526.0,1422.0,,,,,,,,,,,,
321,1423.0,38.0,,,,,,,,,,,,,
322,527.0,1424.0,127.0,775.0,265.0,,,,,,,,,,
323,96.0,1425.0,,,,,,,,,,,,,
324,70.0,1426.0,775.0,265.0,,,,,,,,,,,
325,28.0,12.0,49.0,1427.0,,,,,,,,,,,
326,85.0,55.0,296.0,,,,,,,,,,,,
327,1428.0,17.0,395.0,24.0,92.0,,,,,,,,,,
328,1429.0,211.0,,,,,,,,,,,,,
329,94.0,1430.0,135.0,776.0,,,,,,,,,,,
330,81.0,44.0,1431.0,,,,,,,,,,,,
331,74.0,777.0,,,,,,,,,,,,,
332,99.0,1432.0,,,,,,,,,,,,,
333,778.0,313.0,1433.0,,,,,,,,,,,,
334,1434.0,1435.0,,,,,,,,,,,,,
335,227.0,90.0,,,,,,,,,,,,,
336,48.0,1.0,15.0,1436.0,779.0,,,,,,,,,,
337,63.0,15.0,684.0,779.0,,,,,,,,,,,
338,780.0,96.0,774.0,,,,,,,,,,,,
339,1437.0,,,,,,,,,,,,,,
340,1.0,51.0,74.0,,,,,,,,,,,,
341,41.0,781.0,9.0,1438.0,38.0,,,,,,,,,,
342,107.0,1439.0,1440.0,402.0,,,,,,,,,,,
343,46.0,782.0,1.0,528.0,,,,,,,,,,,
344,7.0,311.0,529.0,111.0,,,,,,,,,,,
345,9.0,713.0,1441.0,,,,,,,,,,,,
346,403.0,195.0,1442.0,,,,,,,,,,,,
347,266.0,1443.0,82.0,18.0,48.0,116.0,,,,,,,,,
348,119.0,77.0,228.0,,,,,,,,,,,,
349,404.0,1444.0,265.0,,,,,,,,,,,,
350,783.0,143.0,405.0,,,,,,,,,,,,
351,183.0,1445.0,1446.0,,,,,,,,,,,,
352,11.0,1447.0,370.0,784.0,,,,,,,,,,,
353,70.0,1448.0,,,,,,,,,,,,,
354,1449.0,1450.0,378.0,67.0,,,,,,,,,,,
355,11.0,136.0,1.0,40.0,1451.0,68.0,,,,,,,,,
356,1452.0,381.0,315.0,1453.0,,,,,,,,,,,
357,785.0,57.0,530.0,,,,,,,,,,,,
358,2.0,23.0,76.0,,,,,,,,,,,,
359,267.0,31.0,1454.0,103.0,,,,,,,,,,,
360,786.0,62.0,787.0,,,,,,,,,,,,
361,788.0,1455.0,11.0,531.0,229.0,,,,,,,,,,
362,57.0,1456.0,45.0,,,,,,,,,,,,
363,789.0,790.0,1457.0,,,,,,,,,,,,
364,1458.0,103.0,46.0,2.0,180.0,,,,,,,,,,
365,133.0,133.0,133.0,15.0,230.0,,,,,,,,,,
366,57.0,312.0,41.0,1459.0,19.0,,,,,,,,,,
367,39.0,1460.0,1461.0,532.0,,,,,,,,,,,
368,507.0,1462.0,791.0,792.0,,,,,,,,,,,
369,7.0,1463.0,97.0,533.0,,,,,,,,,,,
370,16.0,187.0,1464.0,793.0,,,,,,,,,,,
371,406.0,92.0,10.0,794.0,116.0,,,,,,,,,,
372,267.0,720.0,407.0,15.0,1465.0,17.0,,,,,,,,,
373,144.0,1466.0,1467.0,,,,,,,,,,,,
374,266.0,117.0,1468.0,211.0,,,,,,,,,,,
375,1469.0,53.0,1470.0,,,,,,,,,,,,
376,326.0,1471.0,133.0,1472.0,1473.0,42.0,,,,,,,,,
377,5.0,528.0,795.0,796.0,,,,,,,,,,,
378,1.0,159.0,,,,,,,,,,,,,
379,1474.0,196.0,,,,,,,,,,,,,
380,7.0,131.0,,,,,,,,,,,,,
381,1.0,128.0,,,,,,,,,,,,,
382,5.0,93.0,12.0,52.0,8.0,,,,,,,,,,
383,1475.0,2.0,23.0,,,,,,,,,,,,
384,408.0,797.0,297.0,,,,,,,,,,,,
385,534.0,1.0,31.0,,,,,,,,,,,,
386,70.0,716.0,,,,,,,,,,,,,
387,44.0,49.0,68.0,,,,,,,,,,,,
388,65.0,65.0,65.0,,,,,,,,,,,,
389,93.0,1476.0,,,,,,,,,,,,,
390,2.0,104.0,,,,,,,,,,,,,
391,14.0,6.0,535.0,,,,,,,,,,,,
392,45.0,1477.0,327.0,,,,,,,,,,,,
393,50.0,30.0,1478.0,130.0,,,,,,,,,,,
394,142.0,10.0,798.0,214.0,,,,,,,,,,,
395,409.0,173.0,1479.0,8.0,328.0,536.0,,,,,,,,,
396,268.0,174.0,799.0,174.0,537.0,,,,,,,,,,
397,1480.0,119.0,6.0,,,,,,,,,,,,
398,48.0,116.0,1481.0,76.0,103.0,,,,,,,,,,
399,268.0,174.0,76.0,103.0,,,,,,,,,,,
400,506.0,7.0,,,,,,,,,,,,,
401,14.0,31.0,1482.0,138.0,,,,,,,,,,,
402,7.0,800.0,801.0,802.0,,,,,,,,,,,
403,140.0,112.0,,,,,,,,,,,,,
404,538.0,16.0,,,,,,,,,,,,,
405,269.0,1483.0,310.0,,,,,,,,,,,,
406,48.0,66.0,803.0,,,,,,,,,,,,
407,757.0,16.0,,,,,,,,,,,,,
408,269.0,1484.0,310.0,,,,,,,,,,,,
409,490.0,329.0,,,,,,,,,,,,,
410,270.0,53.0,4.0,3.0,,,,,,,,,,,
411,140.0,4.0,330.0,3.0,,,,,,,,,,,
412,3.0,157.0,3.0,157.0,,,,,,,,,,,
413,5.0,539.0,153.0,100.0,16.0,,,,,,,,,,
414,540.0,1485.0,,,,,,,,,,,,,
415,64.0,804.0,58.0,,,,,,,,,,,,
416,1486.0,60.0,1487.0,,,,,,,,,,,,
417,788.0,1488.0,24.0,,,,,,,,,,,,
418,1.0,74.0,758.0,196.0,120.0,,,,,,,,,,
419,75.0,7.0,85.0,105.0,1489.0,,,,,,,,,,
420,6.0,1490.0,271.0,,,,,,,,,,,,
421,60.0,27.0,1491.0,19.0,,,,,,,,,,,
422,2.0,52.0,61.0,541.0,,,,,,,,,,,
423,197.0,66.0,127.0,19.0,,,,,,,,,,,
424,70.0,725.0,58.0,246.0,,,,,,,,,,,
425,272.0,55.0,805.0,5.0,72.0,,,,,,,,,,
426,231.0,11.0,542.0,172.0,158.0,,,,,,,,,,
427,7.0,1492.0,231.0,1493.0,410.0,,,,,,,,,,
428,92.0,1494.0,9.0,331.0,19.0,485.0,,,,,,,,,
429,33.0,806.0,100.0,243.0,5.0,,,,,,,,,,
430,1.0,1495.0,498.0,332.0,,,,,,,,,,,
431,543.0,1496.0,37.0,1497.0,1.0,,,,,,,,,,
432,3.0,1498.0,6.0,120.0,,,,,,,,,,,
433,6.0,,,,,,,,,,,,,,
434,544.0,1499.0,273.0,1.0,301.0,,,,,,,,,,
435,1500.0,12.0,1501.0,1502.0,,,,,,,,,,,
436,1.0,1503.0,1504.0,19.0,,,,,,,,,,,
437,272.0,55.0,805.0,2.0,1505.0,,,,,,,,,,
438,3.0,159.0,172.0,1506.0,,,,,,,,,,,
439,11.0,1507.0,17.0,807.0,5.0,,,,,,,,,,
440,808.0,274.0,1.0,1508.0,,,,,,,,,,,
441,1509.0,42.0,4.0,1510.0,,,,,,,,,,,
442,739.0,121.0,16.0,1511.0,,,,,,,,,,,
443,1512.0,1513.0,27.0,1514.0,1515.0,,,,,,,,,,
444,58.0,809.0,810.0,1516.0,,,,,,,,,,,
445,2.0,22.0,36.0,1517.0,811.0,1518.0,1519.0,1520.0,1521.0,,,,,,
446,101.0,812.0,813.0,59.0,,,,,,,,,,,
447,17.0,124.0,194.0,545.0,122.0,1522.0,8.0,,,,,,,,
448,198.0,814.0,1523.0,1524.0,,,,,,,,,,,
449,135.0,815.0,1525.0,,,,,,,,,,,,
450,199.0,546.0,53.0,199.0,,,,,,,,,,,
451,112.0,1526.0,816.0,,,,,,,,,,,,
452,180.0,547.0,817.0,1527.0,1528.0,,,,,,,,,,
453,411.0,1529.0,1530.0,1531.0,138.0,,,,,,,,,,
454,412.0,67.0,10.0,35.0,20.0,1532.0,226.0,,,,,,,,
455,50.0,153.0,2.0,104.0,23.0,474.0,,,,,,,,,
456,88.0,333.0,192.0,1533.0,6.0,1534.0,,,,,,,,,
457,198.0,83.0,13.0,1535.0,,,,,,,,,,,
458,1.0,303.0,5.0,134.0,,,,,,,,,,,
459,46.0,257.0,50.0,1536.0,,,,,,,,,,,
460,1537.0,150.0,398.0,263.0,,,,,,,,,,,
461,548.0,145.0,,,,,,,,,,,,,
462,1.0,1538.0,5.0,549.0,,,,,,,,,,,
463,199.0,114.0,53.0,199.0,,,,,,,,,,,
464,5.0,275.0,128.0,1539.0,1540.0,,,,,,,,,,
465,7.0,10.0,1541.0,1542.0,1.0,,,,,,,,,,
466,276.0,35.0,413.0,,,,,,,,,,,,
467,20.0,277.0,4.0,64.0,1543.0,64.0,64.0,,,,,,,,
468,28.0,278.0,393.0,42.0,,,,,,,,,,,
469,50.0,2.0,550.0,,,,,,,,,,,,
470,1544.0,413.0,413.0,,,,,,,,,,,,
