,lyric,label
99,초토화된 곳이든,0
100,뜨거운 불구덩이든,0
101,말했잖아 언젠가 그런 날에,0
102,나는 널 떠나지 않겠다고,0
103,"죄다 낭떠러지야, 봐",0
104,예상했던 것보다,0
105,더 아플지도 모르지만,0
106,내 눈을 본다면,0
107,밤하늘의 별이 되는,0
108,기분을 느낄 수 있을 거야,0
109,셋 하면 뛰어 낙하- 하-,0
110,핫 둘 셋 숨 딱 참고 낙하,0
111,셋 하면 뛰어 낙하- 하-,0
112,핫 둘 셋 숨 딱 참고 낙하,0
113,보여주자 웃을 준비를 끝낸 그들에게,0
114,아무것도 우리를 망가뜨리지 못해,0
115,눈 딱 감고 낙하- 하-,0
116,믿어 날 눈 딱 감고 낙하,0
117,셋 하면 뛰어 낙하- 하-,0
118,핫 둘 셋 숨 딱 참고 낙하,0
119,눈부신 햇살 아래,0
120,아이처럼 활짝 웃는 너,0
121,우릴 계속 불러 댄,0
122,손을 더 높이,0
123,모일수록 아름답게,0
124,비가 내려도,0
125,다시 한번 시작해볼까,0
126,너와 손을 맞잡은 순간,0
127,더 큰 세상이 너를 주목해,0
128,축제를 열어볼까,0
129,난 너의 손을 잡아,0
130,기다린 지금이야,0
131,너답게 펼쳐봐,0
132,손을 더 높이,0
133,모일수록 아름답게,0
134,비가 내려도,0
135,어둠을 헤쳐 빛을 따라가,0
136,손을 더 높이,0
137,모일수록 아름답게,0
138,비가 내려도,0
139,다시 한번 시작해볼까,0
140,너와 손을 맞잡은 순간,0
141,절대적 룰을 지켜,0
142,내 손을 놓지 말아,0
143,결속은 나의 무기,0
144,광야로 걸어가,0
145,위협에 맞서서,0
146,제껴라 제껴라 제껴라,0
147,유혹은 깊고 진해,0
148,맞잡은 손을 놓쳐,0
149,난 절대 포기 못해,0
150,저 너머의 문을 열어,0
151,널 결국엔 내가 부셔,0
152,제껴라 제껴라 제껴라,0
153,적대적인 고난과 슬픔은,0
154,감정들을 배운 다음,0
155,감당할 수 없는 절망도,0
156,내 믿음을 깨지 못해,0
157,더 아픈 시련을 맞아도,0
158,절대로 뒤를 돌아보지 말아,0
159,광야의 것 탐내지 말아,0
160,약속이 깨지면,0
161,모두 걷잡을 수 없게 돼,0
162,언제부턴가 불안해져 가는 신호,0
163,널 파괴하고 말 거야,0
164,중심을 잃고 목소리도 잃고 비난받고,0
165,사람들과 멀어지는 착각 속에,0
166,결국 난 문을 열어,0
167,난 궁금해 미치겠어,0
168,저 너머의 문을 열어,0
169,널 결국엔 내가 부셔,0
170,제껴라 제껴라 제껴라,0
171,더 강해져 자유롭게,0
172,난 광야의 내가 아냐,0
173,야수 같은 나를 느껴,0
174,제껴라 제껴라 제껴라,0
175,가장 가까운 바다,0
176,혼자만의 영화관,0
177,그냥 이끌리는 대로 해도 괜찮으니까,0
178,귀에 윙윙윙 맴도는,0
179,나를 재촉하던 모닝콜 없이 일어나,0
180,유리컵 한가득,0
181,내린 커피 한 잔,0
182,아이스로 할래 아주 여유롭게,0
183,문득 시곌 보니,0
184,벌써 시간은 열두시,0
185,그래도 아주 느긋해,0
186,그리곤 하품 한 번,0
187,한껏 기지개도 켜고,0
188,생각해 오늘 뭐 할까,0
189,창문 너머 계절에 시선이 닿은 그 순간,0
190,쏟아지는 햇살 내 맘을 두드려,0
191,내게 손짓하는 싱그러운 바람 타고서,0
192,가장 가까운 바다,0
193,혼자만의 영화관,0
194,그냥 이끌리는 대로 해도 괜찮으니까,0
195,뚜벅 걸어도 좋아,0
196,하루쯤 세상의 얘길 무시한 채,0
197,내가 나의 하루를 조립해 보려 해,0
198,가본 적도 없는 길 뭐가 있든지,0
199,한쪽 길모퉁이 따라 맘대로 자라난,0
200,조그만 이름 모를 꽃,0
201,한참을 바라보다 뜨거운 햇살을 피해,0
202,벤치에 잠깐 앉아 봐,0
203,느려지는 걸음 그림자의 속도를 따라,0
204,함께 걷는 태양과 발을 맞추고,0
205,뒤이을 달빛을 따라 돌아오고 싶은 걸,0
206,그곳에 두고 와 나만의 작은 짐,0
207,골목길 끝을 돌아 만나게 될,0
208,두근두근 온종일,0
209,눈에 들어오는 예쁜 옷,0
210,맘에 들어오는 걸 더는 망설이긴 싫은 걸,0
211,가장 가까운 바다,0
212,혼자만의 영화관,0
213,그냥 이끌리는 대로 해도 괜찮으니까,0
214,뚜벅 걸어도 좋아,0
215,너를 사랑하고 있어,0
216,너를 사랑하고 있어,0
217,자기야 날 사랑해주면 안 될까,0
218,말처럼 쉽지는 않은 걸 알지만,0
219,세게 날 안아주면 안 될까,0
220,오늘따라 세상이 무섭단 말이야,0
221,잠깐 인공호흡을 해주라,0
222,왠지 숨이 잘 안 쉬어져서 난,0
223,날 놓을 거면 과거에 놔주라,0
224,네가 있는 시간에서 죽어갈 거야,0
225,우리 그냥 결혼하면 안 될까,0
226,돈은 내가 열심히 벌 테니까,0
227,이 세상과 내가 눈감는 날,0
228,까지만 날 사랑한다 말해주라,0
229,내가 너를 사랑해도,0
230,네가 날 안 사랑해도,0
231,우린 나름대로 행복할 거야,0
232,내 방 천장에 그려 본,0
233,내 우주에게 물어본,0
234,말은 나를 사랑하면 안 될까,0
235,오사카나 오키나와의 바다,0
236,내 뮤비들을 찍었던 곳 말이야,0
237,같이 가자 약속했었잖아,0
238,그 약속이 깨질까 봐 겁이 나,0
239,진짜 처음으로 걔가 부럽더라,0
240,하얀 웨딩드레스를 입은 아름다운,0
241,너와 영원을 말할 수 있을까,0
242,가족이 되어주라,0
243,내 집이 되어주라,0
244,나도 날 줄 테니 너도 널 주라,0
245,평생의 연인이야,0
246,네 말대로 말이야,0
247,그래 별과 우주잖아,0
248,날 사랑하지 않는다면,0
249,나의 사랑 반을 받아,0
250,남은 사랑의 반도,0
251,내가 채워줄 거야 꼭,0
252,내가 너를 사랑해도,0
253,네가 날 안 사랑해도,0
254,우린 나름대로 행복할 거야,0
255,내 방 천장에 그려 본,0
256,내 우주에게 물어본,0
257,말은 나를 사랑하면 안 될까,0
258,내가 너를 사랑해도,0
259,네가 날 안 사랑해도,0
260,우린 나름대로 행복할 거야,0
261,내 방 천장에 그려 본,0
262,내 우주에게 물어본,0
263,말은 나를 사랑하면 안 될까,0
264,거울 앞에서 또 연습해,0
265,두 눈을 크게 떠,0
266,이런 표정을 넌 좋아해,0
267,어떻게 하면 더 연약해 청초해 보일까,0
268,안 꾸민듯 꾸며보곤 해,0
269,여자의 마음을 너무 몰라 넌,0
270,두려운 내 모습까지 감싸 안아줘,0
271,영혼까지 끌어 떠는 내숭,0
272,결국 이게 다 널 위한거야,0
273,순수한 내 눈빛보고 잔머리 굴리지말고,0
274,벌렌 절대 못 잡아요 너무 무서워,0
275,여자의 마음을 너무 몰라 넌,0
276,두려운 내 모습까지 감싸 안아줘,0
277,영혼까지 끌어 떠는 내숭,0
278,결국 이게 다 널 위한거야,0
279,순수한 내 눈빛보고 잔머리 굴리지말고,0
280,이제 애쓰지 않아도,0
281,처음 널 만나는 날,0
282,노란 세 송이 장미를 들고,0
283,룰루랄라 신촌을 향하는,0
284,내 가슴은 마냥 두근두근,0
285,생머리 휘날리며,0
286,나를 향해 손을 흔드는 너,0
287,머리에서 발 끝까지,0
288,나를 사로잡네 이야에로,0
289,니가 좋아 너무 좋아,0
290,내 모든걸 주고 싶어,0
291,너에게만은 내 마음,0
292,난 꾸미고 싶지 않아,0
293,언제까지 너와 함께 있을 거야 예,0
294,룰루랄라 신촌을 누비는,0
295,내 마음은 마냥 이야에로,0
296,여보세요 나의 천사,0
297,어떻게 내 마음을 훔쳤나요,0
298,괜찮아요 나의 천사 가져간,0
299,내 마음을 고이 간직해줘요,0
300,니가 좋아 너무 좋아,0
301,내 모든걸 주고 싶어,0
302,너에게만은 내 마음,0
303,난 꾸미고 싶지 않아,0
304,니가 좋아 너무 좋아,0
305,내 모든걸 주고 싶어,0
306,너에게만은 내 마음,0
307,난 꾸미고 싶지 않아,0
308,언제까지 너와 함께 있을 거야 음,0
309,처음이라기엔 너무,0
310,길을 이미 다 아는 듯이,0
311,우연히라기엔 모두,0
312,다 정해진 듯이,0
313,우연히 눈을 떠 보니,0
314,이 세상에 태어나 있었고,0
315,하필 네가 있는 곳이었다,0
316,서서히 몸에 배어버린,0
317,사소한 습관들이,0
318,네게로 가는 길을,0
319,내게 알려줘,0
320,처음이라기엔 너무,0
321,길을 이미 다 아는 듯이,0
322,우연히라기엔 모두,0
323,다 정해진 듯이,0
324,고통의 사랑도,0
325,보통의 이별도,0
326,우연히라기엔 모두,0
327,다 정해진 듯이,0
328,만약 내가 그때 그곳을,0
329,헤매지 않았더라면,0
330,그날 네가 마음 아픈,0
331,이별을 안 했었더라면,0
332,네 뒤를 따라 걷던 곳,0
333,네가 떨어트렸던 꽃,0
334,위태롭던 시간 속,0
335,서로를 기다려왔어,0
336,운명이라고 하기엔,0
337,이를 수 있다 생각해,0
338,우연히라고 하기엔,0
339,설명이 필요한 것 같아,0
340,어쩌면 또 스칠 수 있을지 몰라도,0
341,지금이 아니면 안 될 것 같던 그 때로,0
342,처음이라기엔 너무,0
343,길을 이미 다 아는 듯이,0
344,우연히라기엔 모두,0
345,다 정해진 듯이,0
346,고통의 사랑도,0
347,보통의 이별도,0
348,우연히라기엔 모두,0
349,다 정해진 듯이,0
350,어쩌면 기억을 지운 채로,0
351,하나였던 우린 둘이 되고,0
352,운명이란 작은 점 안에서,0
353,서로를 찾으며 살았는지도,0
354,고통의 사랑도,0
355,보통의 이별도,0
356,우연히라기엔 모두,0
357,다 정해진 듯이,0
358,우연히,0
359,서서히,0
360,점점,0
361,더 멀어져가,0
362,우연히,0
363,천천히,0
364,처음,0
365,그곳으로 가,0
366,이젠 당신이 그립지 않죠,0
367,보고 싶은 마음도 없죠,0
368,사랑한 것도 잊혀 가네요,0
369,조용하게,0
370,알 수 없는 건 그런 내 맘이,0
371,비가 오면 눈물이 나요,0
372,아주 오래 전 당신 떠나던,0
373,그날처럼,0
374,이젠 괜찮은데 사랑 따윈 저버렸는데,0
375,바보 같은 난 눈물이 날까,0
376,아련해지는 빛 바랜 추억,0
377,그 얼마나 사무친 건지,0
378,미운 당신을 아직도 나는,0
379,그리워하네,0
380,이젠 괜찮은데 사랑 따윈 저버렸는데,0
381,바보 같은 난 눈물이 날까,0
382,다신 안 올 텐데 잊지 못한 내가 싫은데,0
383,언제까지나 맘은 아플까,0
384,무얼 믿은 걸까 부족했던 내게서,0
385,나조차 못 믿던 내게 여태 머문 사람,0
386,무얼 봤던 걸까 가진 것도 없던 내게,0
387,무작정 내 손을 잡아 날 이끈 사람,0
388,최고였어,0
389,그대 눈 속에 비친 내 모습,0
390,이제는 내게서 그댈 비춰줄게,0
391,궂은 비가 오면,0
392,세상 가장 큰 그대 우산이 될게,0
393,그댄 편히 걸어가요,0
394,걷다가 지치면,0
395,내가 그대를 안고 어디든 갈게,0
396,이제 나만 믿어요,0
397,나만 두고 가던,0
398,나만 스쳐 간 행운이 모여,0
399,그대가 되어서 내게 와준 거야,0
400,궂은 비가 오면,0
401,세상 가장 큰 그대 우산이 될게,0
402,그댄 편히 걸어가요,0
403,걷다가 지치면,0
404,내가 그대를 안고 어디든 갈게,0
405,이제 나만 믿어요,0
406,나의 마지막 주인공이 되어,0
407,다신 누구 앞에서도,0
408,그대는 고개 숙이지 마요,0
409,내가 보지 못했던 홀로 고단했던 시간,0
410,고맙고 미안해요 사랑해요,0
411,이 세상은,0
412,우리를 두고 오랜 장난을 했고,0
413,우린 속지 않은 거야,0
414,이제 울지 마요,0
415,좋을 땐 밤새도록 맘껏 웃어요,0
416,전부 그대 꺼니까,0
417,그대는 걱정 말아요,0
418,이제 나만 믿어요,0
419,세상이 어두워지고,0
420,조용히 비가 내리면,0
421,여전히 그대로,0
422,오늘도 어김없이 난,0
423,벗어나질 못하네,0
424,너의 생각 안에서,0
425,이제 끝이라는 걸 알지만,0
426,미련이란 걸 알지만,0
427,이제 아닐 걸 알지만,0
428,그까짓 자존심에,0
429,널 잡지 못했던 내가,0
430,조금 아쉬울 뿐이니까,0
431,비가 오는 날엔 나를 찾아와,0
432,밤을 새워 괴롭히다,0
433,비가 그쳐가면 너도 따라서,0
434,서서히 조금씩 그쳐가겠지,0
435,취했나 봐,0
436,그만 마셔야 될 것 같애,0
437,비가 떨어지니까,0
438,나도 떨어질 것 같애,0
439,뭐 네가 보고 싶다거나,0
440,그런 건 아냐,0
441,다만 우리가 가진 시간이 좀,0
442,날카로울 뿐,0
443,참 좋아했었던 이런 날이면,0
444,아직 너무 생생한,0
445,기억을 꺼내놓고,0
446,추억이란 덫에,0
447,일부러 발을 들여놔,0
448,벗어나려고 발버둥조차,0
449,치지 않아,0
450,이제 너를 다 지워냈지만,0
451,모두 다 비워냈지만,0
452,또다시 비가 내리면,0
453,힘들게 숨겨놨던,0
454,너의 모든 기억들이,0
455,다시 돌아와 널 찾나 봐,0
456,비가 오는 날엔 나를 찾아와,0
457,밤을 새워 괴롭히다,0
458,비가 그쳐가면 너도 따라서,0
459,서서히 조금씩 그쳐가겠지,0
460,너에게로,0
461,이젠 돌아갈 길은 없지만,0
462,지금 행복한 너를 보며,0
463,난 그래도 웃어볼게,0
464,널 잡을 수 있었던,0
465,힘이 내겐 없었으니까,0
466,어차피 끝나버린 걸 이제 와,0
467,어쩌겠어,0
468,뒤늦게 후회나 하는 거지,0
469,덜 떨어진 애처럼,0
470,비는 항상 오니까,0
471,계속 반복되겠지,0
472,그치고 나면 그제서야,0
473,나도 그치겠지,0
474,비는 항상 오니까,0
475,계속 반복되겠지,0
476,그치고 나면 그제서야,0
477,나도 그치겠지,0
478,유성이 비처럼 쏟아지는 하늘,0
479,그 아래 너와 함께 춤추고 싶어,0
480,색색의 옷들과 예쁜 액세서리,0
481,흐르는 저 음악이,0
482,내 맘을 설레게 하지,0
483,다른 아무것도 생각하진 마,0
484,무대 위에 올라,0
485,자유로운 몸짓 그 사랑스런 느낌,0
486,저 따분했던 하루와,0
487,지구를 등지고 떠올라,0
488,말리지 마 지금 내 기분은,0
489,멀리 멀리 멀리 다 눈부셔,0
490,저 태양이 다시 눈뜰 때까지,0
491,넌 평범한데 뭔가 달라,0
492,왠지 묘한 구석이 있네,0
493,난 가려져 있는 게 보여,0
494,사람을 가장한 낯선 존재들처럼,0
495,괜찮아 좀 더 가까이 와,0
496,다른 시선 따위 다 잊어버려 우리,0
497,늘 복잡한 저세상과,0
498,지구를 등지고 떠올라,0
499,말리지 마 지금 내 기분은,0
500,멀리 멀리 멀리 다 눈부셔,0
501,어차피 작은 점일 뿐야,0
502,보석 같은 아이야,0
503,몇 발짝 멀리 떨어져서 바라보면 돼,0
504,지구를 등지고 떠올라,0
505,말리지 마 지금 내 기분은,0
506,멀리 멀리 멀리 다 눈부셔,0
507,날 보며 환히 웃던,0
508,너의 미소에,0
509,홀린 듯,0
510,난 그저,0
511,너의 눈빛은,0
512,날 자꾸 네 곁을 맴돌게 해,0
513,굳게 닫힌 내 맘이,0
514,어느새 무너져버려,0
515,온통 너의 생각뿐이야,0
516,나도 미치겠어,0
517,너무 보고 싶어,0
518,매일 매일 매일,0
519,자꾸 초라해지잖아,0
520,내 모습이,0
521,그대여 내게 말해줘,0
522,사랑한다고,0
523,하루가 멀다 하고,0
524,오늘 밤이 가기 전에,0
525,조금 더 다가와 줘,0
526,대체 뭘 고민해 빨리 안아,0
527,아닌 척 모르는 척 하다가,0
528,늦게 놓치고 후회 말아,0
529,너의 눈빛은,0
530,날 자꾸 네 곁을 맴돌게 해,0
531,굳게 닫힌 내 맘이,0
532,어느새 무너져버려,0
533,온통 너의 생각뿐이야,0
534,나도 미치겠어,0
535,너무 보고 싶어,0
536,매일 매일 매일,0
537,자꾸 초라해지잖아,0
538,내 모습이,0
539,그대여 내게 말해줘,0
540,사랑한다고,0
541,하루가 멀다 하고,0
542,이제 와 숨기려 하지 마요,0
543,그대여,0
544,아닌 척하지 마요,0
545,온종일 난,0
546,그대 생각에 잠긴 채로,0
547,난 이대로 기다리고 있어요,0
548,하루가 멀다 하고,0
549,당신이 얼마나 내게,0
550,소중한 사람인지,0
551,세월이 흐르고 보니,0
552,이제 알 것 같아요,0
553,당신이 얼마나 내게,0
554,필요한 사람인지,0
555,세월이 지나고 보니,0
556,이제 알 것 같아요,0
557,밤하늘에 빛나는,0
558,별빛 같은 나의 사랑아,0
559,당신은 나의 영원한 사랑,0
560,사랑해요 사랑해요,0
561,날 믿고 따라준 사람,0
562,고마워요 행복합니다,0
563,왜 이리 눈물이 나요,0
564,밤하늘에 빛나는,0
565,별빛 같은 나의 사랑아,0
566,당신은 나의 영원한 사랑,0
567,사랑해요 사랑해요,0
568,날 믿고 따라준 사람,0
569,고마워요 행복합니다,0
570,왜 이리 눈물이 나요,0
571,왜 이리 눈물이 나요,0
572,첨엔 혼자라는 게 편했지,0
573,자유로운 선택과 시간에,0
574,너의 기억을 지운 듯 했어,0
575,정말 난 그런 줄로 믿었어,0
576,하지만 말야 이른 아침,0
577,혼자 눈을 뜰 때,0
578,내 곁에 니가 없다는,0
579,사실을 알게 될 때면,0
580,나도 모를 눈물이 흘러,0
581,변한 건 없니 날 웃게 했던,0
582,예전 그 말투도 여전히 그대로니,0
583,난 달라졌어 예전만큼 웃질 않고,0
584,좀 야위었어 널 만날 때 보다,0
585,나를 이해해 준 지난 날을,0
586,너의 구속이라 착각했지,0
587,남자다운 거라며 너에겐,0
588,사랑한단 말조차 못했어,0
589,하지만 말야,0
590,빈 종이에 가득 너의 이름,0
591,쓰면서 네게 전화를 걸어,0
592,너의 음성 들을 때,0
593,나도 모를 눈물이 흘러,0
594,변한 건 없니 내가 그토록,0
595,사랑한 미소도 여전히 아름답니,0
596,난 달라졌어 예전만큼 웃질 않고,0
597,좀 야위었어 널 만날 때 보다,0
598,그는 어떠니 우리 함께한 날들,0
599,잊을 만큼 너에게 잘해주니,0
600,행복해야 돼 나의 모자람,0
601,채워줄 좋은 사람 만났으니까,0
602,나리는 꽃가루에 눈이 따끔해 (아야),0
603,눈물이 고여도 꾹 참을래,0
604,내 마음 한켠 비밀스런 오르골에 넣어두고서,0
605,영원히 되감을 순간이니까,0
606,우리 둘의 마지막 페이지를 잘 부탁해,0
607,어느 작별이 이보다 완벽할까,0
608,이런 결말이 어울려,0
609,안녕 꽃잎 같은 안녕,0
610,아 얼마나 기쁜 일이야,0
611,봄바람처럼,0
612,봄바람처럼,0
613,기분이 달아 콧노래 부르네 (랄라),0
614,입꼬리는 살짝 올린 채,0
615,어쩜 이렇게 하늘은 더 바람은 또 완벽한 건지,0
616,오늘따라 내 모습 맘에 들어,0
617,처음 만난 그날처럼 예쁘다고 말해줄래,0
618,어느 이별이 이토록 달콤할까,0
619,이런 결말이 어울려,0
620,안녕 꽃잎 같은 안녕,0
621,아 얼마나 기쁜 일이야,0
622,뜬구름처럼,0
623,뜬구름처럼,0
624,너도 언젠가 날 잊게 될까,0
625,지금 표정과 오늘의 향기도,0
626,단잠 사이에 스쳐간,0
627,봄날의 꿈처럼,0
628,너의 대답이 날 울려,0
629,안녕 약속 같은 안녕,0
630,아 얼마나 기쁜 일이야,0
631,봄바람처럼,0
632,봄바람처럼,0
633,뜬구름처럼,0
634,뜬구름처럼,0
635,날 보는 눈빛에 분명 적혀있어,0
636,난 더 특별함을 원해 너에게,0
637,푸른 바람 불어와,0
638,또 괜히 나 왜 두근거려 왜 (왜),0
639,뭐래도 몰라도 돼,0
640,오늘만은 내 멋대로,0
641,치맛바람이 불어와 (불어와),0
642,뜨거운 햇살이 비춰와 (비춰와),0
643,아름다운 여름밤이라구요,0
644,살랑 살랑 살랑 불어 기분 좋은 날에,0
645,바람 바람 바람 이 시원한 바람,0
646,찰랑 찰랑 찰랑 이 푸른 바닷가에,0
647,바람 바람 바람 치 맛 바 람,0
648,(널 향한 내 맘에),0
649,눈 떼지 못해 넌,0
650,푸른 바람 불어와,0
651,또 괜히 나 왜 두근거려 왜 (왜),0
652,뭐래도 몰라도 돼,0
653,오늘만은 내 멋대로,0
654,치맛바람이 불어와 (불어와),0
655,뜨거운 햇살이 비춰와 (비춰와),0
656,아름다운 여름밤이라구요,0
657,살랑 살랑 살랑 불어 기분 좋은 날에,0
658,바람 바람 바람 이 시원한 바람,0
659,찰랑 찰랑 찰랑 이 푸른 바닷가에,0
660,바람 바람 바람 치 맛 바 람,0
661,너와 함께 있고 이 밤은 빛나는데,0
662,치 맛 바 람,0
663,세상이란 장애물이 너의,0
664,앞길을 가로막을 때 날 봐,0
665,언제나 너의 곁엔 내가 있어,0
666,불안 따윈 1도 없을 테니,0
667,내가 너를 지켜줄게,0
668,나를 믿고 가 오,0
669,거친 세상이지만,0
670,나를 믿고 가 오,0
671,창밖으로 비쳐오는 태양,0
672,시시각각 바뀌는 구름의 모양,0
673,공기를 가르며 와닿는,0
674,바람의 향기가 느껴지니,0
675,내가 너를 지켜줄 테니,0
676,나를 믿고 가 오,0
677,거친 세상이지만,0
678,나를 믿고 가 오,0
679,참 다행이지 나의 옆이 너라서,0
680,내 어깨에 기대어,0
681,손을 꼭 잡고 같이,0
682,어디로든 가자,0
683,나를 믿고 가 오,0
684,거친 세상이지만,0
685,나를 믿고 가 오,0
686,하루만 더 우리 이별을,0
687,늦춘다면 어땠을까,0
688,그럴 일 없다는 걸 나는 알면서도,0
689,아직 널 보낼 수가 없나봐,0
690,한번만 나 이렇게 널 불러볼게,0
691,오늘까지만 그리워할게,0
692,끝이 보이지않아 내 사랑은,0
693,가슴깊이 이별을 남기고,0
694,새까맣게 흉터가 되어도,0
695,또 다시 너를 그리워해,0
696,내 전부인 널,0
697,단 하루만 더 너를 사랑할게,0
698,단 한순간도 못 잊어,0
699,너 없는 세상이,0
700,너무나 아파서 무너져가,0
701,다시 돌아와줘,0
702,시간에 기대어 애써봐도,0
703,이별은 왜 계속 선명해질까,0
704,잘 지내란 인사 못할 것 같아,0
705,혼자 남은 내 맘을 이해해줘,0
706,네 흔적이 그대로 남아서,0
707,내 입술이 추억을 부르고,0
708,여전히 너를 사랑한다,0
709,내 전부인 널,0
710,단 하루만 더 너를 사랑할게,0
711,단 한순간도 못 잊어,0
712,너 없는 세상이,0
713,너무나 아파서 무너져가,0
714,다시 돌아와줘,0
715,시간에 기대어 애써봐도,0
716,이별은 왜 계속 선명해질까,0
717,우리의 이별 끝에,0
718,아직도 서있어,0
719,지금도 네게 하고 픈 말,0
720,뜨겁게 널 사랑한다고,0
721,단 한순간도 못 보내,0
722,너 없는 세상이,0
723,너무나 아파 목이 메어와,0
724,정말 끝난거니,0
725,참 행복했었던 그때 우린,0
726,추억마저 사라지고 있잖아,0
727,세상의 모서리,0
728,구부정하게 커버린,0
729,"걸음걸이, 옷차림,",0
730,넌 모르지,0
731,떨군 고개 위,0
732,환한 빛 조명이,0
733,어딜 비추는지,0
734,느려도 좋으니,0
735,결국 알게 되길,0
736,잊지마 넌 흐린 어둠 사이,0
737,왼손으로 그린 별 하나,0
738,보이니 그 유일함이 얼마나,0
739,아름다운지 말야,0
740,지쳐버린 표정 마치,0
741,전원을 꺼놓은 듯이,0
742,"네가 가진 반짝거림,",0
743,넌 모르지,0
744,아직 못다 핀,0
745,널 위해 쓰여진,0
746,오래된 사랑시,0
747,헤매도 좋으니,0
748,웃음 짓게 되길,0
749,잊지마 넌 흐린 어둠 사이,0
750,왼손으로 그린 별 하나,0
751,보이니 그 유일함이 얼마나,0
752,아름다운지 말야,0
753,발자국마다 이어진 별자리,0
754,그 서투른 걸음이 새겨놓은 밑그림,0
755,오롯이 너를 만나러 가는 길,0
756,그리로 가면 돼 점선을 따라,0
757,잊지마 이 오랜 겨울 사이,0
758,언 틈으로 피울 꽃 하나,0
759,보이니 하루 뒤 봄이 얼마나,0
760,아름다울지 말야,0
761,끝없이 별빛이 내리던 밤,0
762,기분 좋은 바람이,0
763,두 빰을 스치고,0
764,새벽 바다 한곳을 보는,0
765,아름다운 너와 나,0
766,그림을 그려갔어,0
